age0to19,age20to39,age40to59,age60to79,age80over,house
65,57,108,126,39,167
80,68,159,63,23,169
34,88,101,123,42,256
55,77,113,109,33,193
40,83,83,122,54,206
39,48,68,110,117,202
40,70,98,132,38,148
38,65,90,135,46,174
55,66,108,107,37,140
29,55,82,163,42,169
41,73,104,115,38,160
51,57,83,129,48,137
51,60,94,97,65,155
41,50,96,135,45,169
50,93,115,77,30,197
51,63,109,97,44,157
58,74,103,103,26,153
12,49,70,137,88,209
42,61,92,112,49,195
43,86,117,88,21,190
42,110,101,75,27,191
47,90,100,85,29,170
28,85,96,97,41,175
42,65,82,112,46,169
97,90,114,30,16,129
58,47,98,105,38,165
29,66,76,117,53,159
37,66,87,113,37,148
51,63,107,94,24,142
79,119,95,40,5,156
52,54,76,108,48,148
53,55,85,108,34,153
36,51,55,88,99,166
40,81,80,94,31,143
21,78,76,115,33,186
41,69,81,105,23,141
112,77,79,38,12,98
62,53,93,74,35,138
45,51,92,94,35,131
42,59,76,91,41,101
44,49,76,93,46,124
35,64,85,89,33,147
41,41,89,107,27,132
20,40,56,127,60,141
43,59,72,98,28,120
69,57,74,74,25,120
55,49,88,76,31,124
46,56,84,73,39,105
64,65,102,54,9,130
27,44,79,108,36,116
39,42,77,105,31,102
37,45,73,102,35,130
35,47,78,102,29,139
38,52,71,92,34,118
28,48,78,96,34,131
37,45,81,78,43,106
31,36,67,109,40,121
26,51,64,100,41,137
32,37,75,94,44,129
38,49,72,101,19,108
40,60,78,77,23,137
26,43,69,102,38,106
42,54,93,59,29,147
32,84,80,52,28,152
17,37,51,110,61,136
29,84,71,70,21,155
59,83,78,44,11,119
35,39,81,71,43,121
44,36,80,73,36,84
28,53,95,73,19,144
34,50,76,77,30,120
36,46,67,85,30,117
54,51,69,65,25,118
23,73,67,65,34,149
30,73,82,52,25,150
32,32,76,90,31,108
29,51,46,80,54,128
34,42,53,96,34,115
25,37,55,119,22,107
30,89,67,46,22,166
27,44,67,71,44,118
32,30,63,93,35,116
34,41,57,91,29,130
50,38,92,47,25,103
56,64,79,46,4,120
35,56,59,73,22,111
45,49,72,68,11,101
6,39,61,75,64,156
27,46,62,75,34,116
38,41,61,73,31,99
34,67,57,68,13,133
31,34,84,66,24,105
31,33,57,76,41,113
